,cik,companyName,stockSymbol,with10K
0,886475,"'mktg, inc.'",cmkg,1
1,0000038723,1st FRANKLIN FINANCIAL CORP,ffhs,1
2,0001118974,"30Dc, Inc.",tdch,1
3,0000910638,3D Systems Corp,ddd,1
4,0001375195,3Dicon Corp,tdcp,1
5,0001023731,8X8 Inc /DE/,eght,1
6,0001011290,99 CENTS ONLY STORES LLC,ndn,1
7,0001413898,A. H. Belo CORP,ahc,1
8,0001580808,"A10 Networks, Inc.",aten,1
9,0001002388,"ACCELRYS, INC.",accl,1
10,0000712034,ACCO BRANDS Corp,acco,1
11,0001680062,"ACM Research, Inc.",ACMR,1
12,0001163932,ACTIVE NETWORK INC,actv,1
13,0001062478,ACTUATE CORP,birt,1
14,0001400482,ACUCELA INC.,aucl,1
15,0001223112,ADA-ES INC,,1
16,0001059763,ADAMS GOLF INC,,1
17,0001004724,"ADCARE HEALTH SYSTEMS, INC",adk,1
18,0000849401,"ADM TRONICS UNLIMITED, INC.",admt,1
19,0001076167,ADOLOR CORP,,1
20,0001546640,ADT Corp,adt,1
21,0001435049,"ADURO BIOTECH, INC.",adro,1
22,0001604028,"ADVANCED DRAINAGE SYSTEMS, INC.",wms,1
23,0000849706,ADVANCED ENVIRONMENTAL RECYCLING TECHNOLOGIES INC,aert,1
24,0001122411,ADVANCED SEMICONDUCTOR ENGINEERING INC,asx,0
25,0001158838,ADVANTEST CORP,ate,0
26,0000868857,AECOM,acm,1
27,0000769218,AEGON NV,aeb,0
28,0001702494,"AEP Transmission Company, LLC",,1
29,0000040888,"AEROJET ROCKETDYNE HOLDINGS, INC.",gy,1
30,0000109471,AEROSONIC CORP /DE/,aim,1
31,0001004434,"AFFILIATED MANAGERS GROUP, INC.",amg,1
32,0001282543,AFFIRMATIVE INSURANCE HOLDINGS INC,affm,1
33,0001158223,AFFYMAX INC,affy,1
34,0000836809,"AFTERMASTER, INC.",aftm,1
35,0001261249,AGILE THERAPEUTICS INC,agrx,1
36,0000943003,AGRIUM INC,agu,0
37,0000926660,AIMCO PROPERTIES L.P.,aiv_priv1,1
38,0001272842,AIRGAIN INC,airg,1
39,0000948846,AIRTRAN HOLDINGS INC,aai,1
40,0000766421,"ALASKA AIR GROUP, INC.",alk,1
41,0000886125,ALCATEL LUCENT,alu,0
42,0000004281,ALCOA INC.,arnc,1
43,0001167379,ALCON INC,,0
44,0001423824,ALDER BIOPHARMACEUTICALS INC,aldr,1
45,0000874663,ALKERMES INC,,1
46,0000889156,ALLBRITTON COMMUNICATIONS CO,,1
47,0000003673,"ALLEGHENY ENERGY, INC",,1
48,0001109448,ALLIANCEBERNSTEIN L.P.,ab,1
49,0000072499,ALLIANZ LIFE INSURANCE CO OF NORTH AMERICA,azsey,0
50,0000874710,ALLIED HEALTHCARE PRODUCTS INC,ahpi,1
51,0001097264,ALLOS THERAPEUTICS INC,alth,1
52,0000352736,ALLSTATE LIFE INSURANCE CO,all_priv1,1
53,0001387467,ALPHA & OMEGA SEMICONDUCTOR Ltd,aosl,1
54,900278,"ALPS ALPINE CO., LTD.",,0
55,0001108332,ALVARION LTD,alvrq,0
56,0000874501,AMBAC FINANCIAL GROUP INC,ambc,1
57,0001621697,AMBER GROUP INC,ambg,1
58,0001565025,AMBEV S.A.,abev,0
59,0001047919,AMBIENT CORP /NY,ambtq,1
60,0001131543,AMBIT BIOSCIENCES CORP,ambi,1
61,0000813621,AMCOL INTERNATIONAL CORP,aco,1
62,0001269026,AMEDICA Corp,amda,1
63,0001129137,AMERICA MOVIL SAB DE CV/,amx,0
64,0000004611,AMERICAN BILTRITE INC,ablt,1
65,0001468679,AMERICAN CRYOSTEM Corp,cryo,1
66,0001073146,AMERICAN INTERNATIONAL INDUSTRIES INC,amin,1
67,0000774517,AMERICAN LEARNING Corp,alrn,1
68,0000880555,AMERICAN MEDIA INC,amerm_priv,1
69,0000700721,AMERICAN MEDICAL ALERT CORP,,1
70,0001114200,AMERICAN MEDICAL SYSTEMS HOLDINGS INC,ammd,1
71,0000780392,"AMERICAN MULTI-CINEMA, INC.",,0
72,0000350832,AMERICAN PACIFIC CORP,apfc,1
73,0001114605,AMERICAN SCIENTIFIC RESOURCES INC,asfx,1
74,0001005214,AMERICAN WAGERING INC,,1
75,0000799850,AMERICAS CARMART INC,crmt,1
76,0001455863,AMERICOLD REALTY TRUST,cold,1
77,0001064863,AMERIGROUP CORP,amgp,1
78,0000912145,AMERISTAR CASINOS INC,asca,1
79,0000790730,AMERON INTERNATIONAL CORP,,1
80,0001457757,"AMFM Broadcasting, Inc.",,0
81,0001047127,"AMKOR TECHNOLOGY, INC.",amkr,1
82,0001024729,AMSCAN HOLDINGS INC,amsn,1
83,0000881464,AMYLIN PHARMACEUTICALS INC,amln,1
84,0000006292,ANALYSTS INTERNATIONAL CORP,anly,1
85,0001370053,ANAPTYSBIO INC,anab,1
86,0000006494,ANDREA ELECTRONICS CORP,andr,1
87,0001096481,ANGIOTECH PHARMACEUTICALS INC,anpmf,1
88,0001023024,ANI PHARMACEUTICALS INC,anip,1
89,0001016169,"ANTARES PHARMA, INC.",atrs,1
90,0001468516,AOL Inc.,aol,1
91,0000949297,"APAC CUSTOMER SERVICES, INC",,1
92,0001081078,API Technologies Corp.,atny,1
93,0000929887,APOLLO EDUCATION GROUP INC,apol,1
94,0001433195,APPFOLIO INC,appf,1
95,0001441683,APPIAN CORP,appn,1
96,0001144326,APPLETON PAPERS INC/WI,,1
97,0000882289,APRIA HEALTHCARE GROUP INC,ahg,1
98,0000109758,ARBITRON INC,arb,1
99,0001305168,"ARC DOCUMENT SOLUTIONS, INC.",arc,1
100,0000826326,"ARC Group Worldwide, Inc.",arcw,1
101,0001452872,"ARC Group, Inc.",arck,1
102,0000907654,"ARCA biopharma, Inc.",abio,1
103,0001072343,ARCH CHEMICALS INC,arj,1
104,0001437402,"ARDELYX, INC.",ardx,1
105,0001176948,ARES MANAGEMENT LP,ares,1
106,0001105533,ARGOS THERAPEUTICS INC,args,1
107,0001084755,ARIBA INC,arba,1
108,0001645494,ARRIS International plc,arrs,1
109,0001086195,ART TECHNOLOGY GROUP INC,,1
110,0001005010,ARTHROCARE CORP,artc,1
111,0001070361,ARTIFICIAL LIFE INC,alif,1
112,0001655759,"ARVINAS, INC.",arvn,1
113,0001100969,"ASIAINFO-LINKAGE, INC",asia,1
114,0001426800,"ASSEMBLY BIOSCIENCES, INC.",asmb,1
115,0000802967,"ASSOCIATED MATERIALS, LLC",side,1
116,0000008497,ASSURANCEAMERICA CORP,asam,1
117,0001690881,"ASV HOLDINGS, INC.",asv,1
118,0000732717,AT&T INC.,t,1
119,0001140486,ATHEROS COMMUNICATIONS INC,,1
120,0000893821,ATTUNITY LTD,attu,0
121,0001172494,AU OPTRONICS CORP,auo,0
122,0001138830,AUTHENTEC INC,auth,1
123,0001182129,AUXILIUM PHARMACEUTICALS INC,auxl,1
124,0001348036,"AVALARA, INC.",avlr,1
125,0000858803,"AVANIR PHARMACEUTICALS, INC.",avnr,1
126,0001116521,AVAYA INC,av,1
127,0001343304,AVEDRO INC,avdr,1
128,0001644963,"AVENUE THERAPEUTICS, INC.",atxi,1
129,0001528903,AVG Technologies N.V.,avg,0
130,0001111632,AVISTAR COMMUNICATIONS CORP,avsr,1
131,0001431888,"AVT, Inc.",avtcq,1
132,0000859163,AVX Corp,avx,1
133,0000727920,AXA EQUITABLE LIFE INSURANCE CO,axa_priv,1
134,0001092492,AXESSTEL INC,axst,1
135,0001514946,"AXIM BIOTECHNOLOGIES, INC.",axim,1
136,0001566265,AXIOM CORP.,axmm,1
137,0000001750,Aar Corp,air,1
138,0000881890,Abaxis Inc,abax,1
139,0001091587,Abb Ltd,abb,0
140,0001551152,AbbVie Inc.,abbv,1
141,0000001800,Abbott Laboratories,abt,1
142,0001018840,Abercrombie & Fitch Co /DE/,anf,1
143,0000815094,Abiomed Inc,abmd,1
