cik,companyName,stockSymbol
886475,"'mktg, inc.'",cmkg
0000038723,1st FRANKLIN FINANCIAL CORP,ffhs
0001118974,"30Dc, Inc.",tdch
0000910638,3D Systems Corp,ddd
0001375195,3Dicon Corp,tdcp
0001023731,8X8 Inc /DE/,eght
0001011290,99 CENTS ONLY STORES LLC,ndn
0001413898,A. H. Belo CORP,ahc
0001580808,"A10 Networks, Inc.",aten
0001002388,"ACCELRYS, INC.",accl
0000712034,ACCO BRANDS Corp,acco
0001680062,"ACM Research, Inc.",ACMR
0001163932,ACTIVE NETWORK INC,actv
0001062478,ACTUATE CORP,birt
0001400482,ACUCELA INC.,aucl
0001223112,ADA-ES INC,
0001059763,ADAMS GOLF INC,
0001004724,"ADCARE HEALTH SYSTEMS, INC",adk
0000849401,"ADM TRONICS UNLIMITED, INC.",admt
0001076167,ADOLOR CORP,
0001546640,ADT Corp,adt
0001435049,"ADURO BIOTECH, INC.",adro
0001604028,"ADVANCED DRAINAGE SYSTEMS, INC.",wms
0000849706,ADVANCED ENVIRONMENTAL RECYCLING TECHNOLOGIES INC,aert
0001122411,ADVANCED SEMICONDUCTOR ENGINEERING INC,asx
0001158838,ADVANTEST CORP,ate
0000868857,AECOM,acm
0000769218,AEGON NV,aeb
0001702494,"AEP Transmission Company, LLC",
0000040888,"AEROJET ROCKETDYNE HOLDINGS, INC.",gy
0000109471,AEROSONIC CORP /DE/,aim
0001004434,"AFFILIATED MANAGERS GROUP, INC.",amg
0001282543,AFFIRMATIVE INSURANCE HOLDINGS INC,affm
0001158223,AFFYMAX INC,affy
0000836809,"AFTERMASTER, INC.",aftm
0001261249,AGILE THERAPEUTICS INC,agrx
0000943003,AGRIUM INC,agu
0000926660,AIMCO PROPERTIES L.P.,aiv_priv1
0001272842,AIRGAIN INC,airg
0000948846,AIRTRAN HOLDINGS INC,aai
0000766421,"ALASKA AIR GROUP, INC.",alk
0000886125,ALCATEL LUCENT,alu
0000004281,ALCOA INC.,arnc
0001167379,ALCON INC,
0001423824,ALDER BIOPHARMACEUTICALS INC,aldr
0000874663,ALKERMES INC,
0000889156,ALLBRITTON COMMUNICATIONS CO,
0000003673,"ALLEGHENY ENERGY, INC",
0001109448,ALLIANCEBERNSTEIN L.P.,ab
0000072499,ALLIANZ LIFE INSURANCE CO OF NORTH AMERICA,azsey
0000874710,ALLIED HEALTHCARE PRODUCTS INC,ahpi
0001097264,ALLOS THERAPEUTICS INC,alth
0000352736,ALLSTATE LIFE INSURANCE CO,all_priv1
0001387467,ALPHA & OMEGA SEMICONDUCTOR Ltd,aosl
900278,"ALPS ALPINE CO., LTD.",
0001108332,ALVARION LTD,alvrq
0000874501,AMBAC FINANCIAL GROUP INC,ambc
0001621697,AMBER GROUP INC,ambg
0001565025,AMBEV S.A.,abev
0001047919,AMBIENT CORP /NY,ambtq
0001131543,AMBIT BIOSCIENCES CORP,ambi
0000813621,AMCOL INTERNATIONAL CORP,aco
0001269026,AMEDICA Corp,amda
0001129137,AMERICA MOVIL SAB DE CV/,amx
0000004611,AMERICAN BILTRITE INC,ablt
0001468679,AMERICAN CRYOSTEM Corp,cryo
0001073146,AMERICAN INTERNATIONAL INDUSTRIES INC,amin
0000774517,AMERICAN LEARNING Corp,alrn
0000880555,AMERICAN MEDIA INC,amerm_priv
0000700721,AMERICAN MEDICAL ALERT CORP,
0001114200,AMERICAN MEDICAL SYSTEMS HOLDINGS INC,ammd
0000780392,"AMERICAN MULTI-CINEMA, INC.",
0000350832,AMERICAN PACIFIC CORP,apfc
0001114605,AMERICAN SCIENTIFIC RESOURCES INC,asfx
0001005214,AMERICAN WAGERING INC,
0000799850,AMERICAS CARMART INC,crmt
0001455863,AMERICOLD REALTY TRUST,cold
0001064863,AMERIGROUP CORP,amgp
0000912145,AMERISTAR CASINOS INC,asca
0000790730,AMERON INTERNATIONAL CORP,
0001457757,"AMFM Broadcasting, Inc.",
0001047127,"AMKOR TECHNOLOGY, INC.",amkr
0001024729,AMSCAN HOLDINGS INC,amsn
0000881464,AMYLIN PHARMACEUTICALS INC,amln
0000006292,ANALYSTS INTERNATIONAL CORP,anly
0001370053,ANAPTYSBIO INC,anab
0000006494,ANDREA ELECTRONICS CORP,andr
0001096481,ANGIOTECH PHARMACEUTICALS INC,anpmf
0001023024,ANI PHARMACEUTICALS INC,anip
0001016169,"ANTARES PHARMA, INC.",atrs
0001468516,AOL Inc.,aol
0000949297,"APAC CUSTOMER SERVICES, INC",
0001081078,API Technologies Corp.,atny
0000929887,APOLLO EDUCATION GROUP INC,apol
0001433195,APPFOLIO INC,appf
0001441683,APPIAN CORP,appn
0001144326,APPLETON PAPERS INC/WI,
0000882289,APRIA HEALTHCARE GROUP INC,ahg
0000109758,ARBITRON INC,arb
0001305168,"ARC DOCUMENT SOLUTIONS, INC.",arc
0000826326,"ARC Group Worldwide, Inc.",arcw
0001452872,"ARC Group, Inc.",arck
0000907654,"ARCA biopharma, Inc.",abio
0001072343,ARCH CHEMICALS INC,arj
0001437402,"ARDELYX, INC.",ardx
0001176948,ARES MANAGEMENT LP,ares
0001105533,ARGOS THERAPEUTICS INC,args
0001084755,ARIBA INC,arba
0001645494,ARRIS International plc,arrs
0001086195,ART TECHNOLOGY GROUP INC,
0001005010,ARTHROCARE CORP,artc
0001070361,ARTIFICIAL LIFE INC,alif
0001655759,"ARVINAS, INC.",arvn
0001100969,"ASIAINFO-LINKAGE, INC",asia
0001426800,"ASSEMBLY BIOSCIENCES, INC.",asmb
0000802967,"ASSOCIATED MATERIALS, LLC",side
0000008497,ASSURANCEAMERICA CORP,asam
0001690881,"ASV HOLDINGS, INC.",asv
0000732717,AT&T INC.,t
0001140486,ATHEROS COMMUNICATIONS INC,
0000893821,ATTUNITY LTD,attu
0001172494,AU OPTRONICS CORP,auo
0001138830,AUTHENTEC INC,auth
0001182129,AUXILIUM PHARMACEUTICALS INC,auxl
0001348036,"AVALARA, INC.",avlr
0000858803,"AVANIR PHARMACEUTICALS, INC.",avnr
0001116521,AVAYA INC,av
0001343304,AVEDRO INC,avdr
0001644963,"AVENUE THERAPEUTICS, INC.",atxi
0001528903,AVG Technologies N.V.,avg
0001111632,AVISTAR COMMUNICATIONS CORP,avsr
0001431888,"AVT, Inc.",avtcq
0000859163,AVX Corp,avx
0000727920,AXA EQUITABLE LIFE INSURANCE CO,axa_priv
0001092492,AXESSTEL INC,axst
0001514946,"AXIM BIOTECHNOLOGIES, INC.",axim
0001566265,AXIOM CORP.,axmm
0000001750,Aar Corp,air
0000881890,Abaxis Inc,abax
0001091587,Abb Ltd,abb
0001551152,AbbVie Inc.,abbv
0000001800,Abbott Laboratories,abt
0001018840,Abercrombie & Fitch Co /DE/,anf
0000815094,Abiomed Inc,abmd
0000771497,Abm Industries Inc /DE/,abm
0001070494,Acadia Pharmaceuticals Inc,acad
0000727207,"Accelerate Diagnostics, Inc",axdx
0001280600,Acceleron Pharma Inc,xlrn
0001176316,Access National Corp,ancx
0000749254,"Access to Money, Inc.",
0001138723,Accuray Inc,aray
0000817979,Accuride Corp,acw
0001301501,Achaogen Inc,akao
